species,common_name,family,region,venom_type,toxicity_level,antivenom_available,conservation_status,habitat,avg_length,max_length,image_path,venomous
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_26.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_32.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_33.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_27.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_19.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_31.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_25.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_7.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_24.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_30.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_18.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_34.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_20.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_3.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_21.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_35.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_23.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_36.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_22.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_92.png,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_86.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_79.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_45.jpg,True
