,precision,recall,f1-score,support
Ahaetulla nasuta,1.0,1.0,1.0,8.0
Argyrogena fasciolata,1.0,0.6,0.75,10.0
Bungarus caeruleus,0.8297872340425532,0.8478260869565217,0.8387096774193549,46.0
Coelognathus helena,0.5909090909090909,0.6190476190476191,0.6046511627906976,21.0
Daboia russelii,0.8571428571428571,0.5,0.631578947368421,12.0
Echis carinatus,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Eryx conicus,0.75,0.8571428571428571,0.8,14.0
Naja kaouthia,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
Naja naja,0.6818181818181818,0.9375,0.7894736842105263,16.0
Ophiophagus hannah,0.6875,0.6470588235294118,0.6666666666666666,17.0
Ptyas mucosa,0.4444444444444444,0.6451612903225806,0.5263157894736842,31.0
Python molurus,0.8,0.8421052631578947,0.8205128205128205,19.0
Xenochrophis piscator,0.8333333333333334,0.2777777777777778,0.4166666666666667,18.0
accuracy,0.7053941908713693,0.7053941908713693,0.7053941908713693,0.7053941908713693
macro avg,0.7642724001766557,0.6994359489986373,0.7091215938575866,241.0
weighted avg,0.7349176108854311,0.7053941908713693,0.7003285111136399,241.0
